,publishedAt,title,tags,categoryId,liveBroadcastContent,defaultLanguage,defaultAudioLanguage,duration,definition,caption,licensedContent,contentRating,projection,viewCount,likeCount,favoriteCount,commentCount
34,2026-04-15T16:00:02Z,ماهي تداعيات الحصار البحري الأمريكي على إيران؟,,24,none,ar,ar,PT2M25S,hd,false,False,{},rectangular,373492,10666,0,194
35,2026-04-14T18:00:34Z,"المُخبر الاقتصادي+ | كيف يمكن أن تؤدي ""صدمة إيران"" إلى وقوع العالم تحت رحمة الصين؟",['Economy'],24,none,ar,ar,PT22M10S,hd,false,True,{},rectangular,687409,16704,0,543
36,2026-04-14T11:12:09Z,طفلة من الجنوب,,24,none,ar,ar,PT33S,hd,false,False,{},rectangular,1140969,33059,0,724
37,2026-04-13T18:00:14Z,الجهبذ | تجار الحروب: كيف صُنعت إمبراطوريات من الأزمات؟,['History'],24,none,ar,ar,PT21M44S,hd,false,True,{},rectangular,95488,2581,0,100
38,2026-04-12T15:00:01Z,لماذا تحتاج أمريكا إلى مضيق هرمز مفتوحاً؟,,24,none,ar,ar,PT2M41S,hd,false,False,{},rectangular,423454,12140,0,143
39,2026-04-11T18:00:39Z,"المُخبر الاقتصادي+ | كيف تسيطر إيران على مضيق هرمز الذي أصبح ""أهم"" من برنامجها النووي؟",['Economy'],24,none,ar,ar,PT24M4S,hd,false,True,{},rectangular,662118,16268,0,782
40,2026-04-09T19:00:34Z,السليط الإخباري 2026 | من انتصر في الحرب؟ أمريكا أم إيران؟,"['أحمد الخالدي', 'إسرائيل', 'إيران', 'اتفاق وقف اطلاق النار', 'الحرب الأمريكية الإسرائيلية', 'الحرب على إيران', 'الحرس الثوري', 'الدوحة', 'الضاحية الجنوبية', 'الكويت', 'المقاومة', 'النفط', 'الوساطة الباكستانية', 'باكستان', 'بنو أموية', 'بيروت', 'ترامب', 'ترمب مريض نفسي', 'جاسم العلي', 'حزب الله', 'خامنئي', 'خرق الاتفاق', 'دونالد ترمب', 'سبايدرمان', 'غزة', 'قصف لبنان', 'قطر', 'قناة الجزيرة', 'لبنان', 'ليغو', 'مروة الحاراتي', 'مضيق هرمز', 'ميمز', 'نتنياهو', 'نيكولاس خوري', 'يوسف علاونة']",24,none,ar,ar,PT16M28S,hd,false,True,{},rectangular,252550,10186,0,700
41,2026-04-08T16:00:00Z,هل توافق الولايات المتحدة على فرض إيران رسوماً على عبور مضيق هرمز؟,,24,none,ar,ar,PT2M23S,hd,false,False,{},rectangular,341472,10779,0,388
42,2026-04-08T13:38:14Z,هل إيران انتصرت على أمريكا أم أمريكا انتصرت على إيران؟,,24,none,ar,ar,PT46S,hd,false,False,{},rectangular,399146,15357,0,519
43,2026-04-07T18:00:26Z,المُخبر الاقتصادي+ | لماذا ترفض أوروبا مساعدة أمريكا وتتركها وحيدة في مواجهة إيران وأزمة مضيق هرمز؟,['Economy'],24,none,ar,ar,PT21M36S,hd,false,True,{},rectangular,854445,17259,0,398
44,2026-04-06T20:05:18Z,الجهبذ | ما الذي يجمع بين بولندا وسوريا؟ قصة قد تغيّر طريقة تفكيرك,"['الدحيح', 'AJ+ عربي', 'Eldahih', 'السليط', 'معنى و زيادة', 'السليط الاخباري', 'نيكولاس خوري', 'احمد الغندور', 'AJ+ الدحيح', 'AJ+ كبريت', 'UC-4Kn', 'السليط الاخباري الموسم الرابع', 'نيكولاس خوري السليط الاخباري', 'برامج AJ+', 'برنامج الدحيح الجديد', 'الدحيح رمضان', 'elda7ee7', 'elda7ee7 aj+', 'AJ+', 'مع تميم', 'تميم البرغوثي', 'AJ+ مع تميم']",24,none,ar,ar,PT23M3S,hd,false,True,{},rectangular,120683,3739,0,545
45,2026-04-05T15:00:01Z,هل تجبر الحرب في الشرق الأوسط أوروبا على التقارب مع بوتين؟,,24,none,ar,ar,PT2M33S,hd,false,False,{},rectangular,226604,8264,0,154
46,2026-04-04T18:00:46Z,المُخبر الاقتصادي+ | هل تقع أمريكا في الفخ نفسه الذي وقعت فيه روسيا في حرب أوكرانيا؟,['Economy'],24,none,ar,ar,PT24M58S,hd,false,True,{},rectangular,1034890,24533,0,1385
47,2026-04-02T19:00:31Z,السليط الإخباري 2026 | الجزيرة قسمت الشاشة إلى 12 قسماً,"['أحمد الخالدي', 'أصفهان', 'إيران', 'الحرب الأمريكية الإسرائيلية', 'الحرب على إيران', 'الحرس الثوري', 'الدوحة', 'الضاحية الجنوبية', 'القبة الحديدية', 'النظام الإيراني', 'بيروت', 'جاسم العلي', 'جزيرة خارك', 'جنوب لبنان', 'حزب الله', 'حيفا', 'خامنئي', 'دبي', 'دونالد ترامب', 'ديمونة', 'سقوط صواريخ', 'سلاح نووي', 'صفارات الانذارات', 'طهران', 'علي شعيب', 'فاطمة فتوني', 'قانون الإعدام', 'قصف الخليج', 'قطر', 'قناة الجزيرة', 'كريات شمونة', 'محطات الطاقة', 'مرشد الثورة', 'مروة الحاراتي', 'مضيق هرمز', 'نيكولاس خوري', 'هجوم على تل أبيب']",24,none,ar,ar,PT14M49S,hd,false,True,{},rectangular,254815,10600,0,485
48,2026-04-02T14:00:55Z,لا بطاريق هنا,['Human Rights'],24,none,ar,ar,PT24S,hd,false,False,{},rectangular,4701510,52492,0,984
49,2026-04-01T18:36:39Z,طفلك x أزمة النفط العالمية!,['Economy'],24,none,ar,ar,PT3M,hd,false,False,{},rectangular,472802,15323,0,192
50,2026-03-31T18:00:36Z,المُخبر الاقتصادي+ | لماذا قد تدمر الحرب على إيران الاقتصاد العالمي وترفع أسعار كل شيء؟,['Economy'],24,none,ar,ar,PT21M25S,hd,false,True,{},rectangular,953585,24017,0,1246
51,2026-03-31T11:26:36Z,إعدام الأسرى الفلسطينيين,,24,none,ar,ar,PT52S,hd,false,False,{},rectangular,1711585,77591,0,3484
52,2026-03-30T18:00:20Z,الجهبذ | خرمشهر: فخ إيراني للجيش العراقي خلال حرب الخليج الأولى؟,['History'],24,none,ar,ar,PT14M27S,hd,false,True,{},rectangular,153039,3854,0,391
53,2026-03-29T15:00:02Z,الحوثيون دخلوا الحرب!,,24,none,ar,ar,PT1M43S,hd,false,False,{},rectangular,654951,19980,0,734
54,2026-03-29T13:30:01Z,أطفال بلا بيوت,,24,none,ar,ar,PT42S,hd,false,False,{},rectangular,1051465,44040,0,967
55,2026-03-28T18:00:38Z,المُخبر الاقتصادي+ | لماذا يشكل غزو أمريكا المحتمل لجزيرة خارك الإيرانية خطراً كبيراً على العالم؟,['Economy'],24,none,ar,ar,PT24M34S,hd,false,True,{},rectangular,1029680,25383,0,1278
56,2026-03-27T18:00:37Z,الجهبذ | عرب المحلمية: قصة قبيلة عربية التي سكنت ماردين,['History'],24,none,ar,ar,PT12M1S,hd,false,True,{},rectangular,62506,2212,0,516
57,2026-03-25T16:00:01Z,أمريكا تحتل كوبا؟,,24,none,ar,ar,PT2M59S,hd,false,False,{},rectangular,670877,23585,0,825
58,2026-03-24T18:00:26Z,المُخبر الاقتصادي+ | هل تهاجم الصين تايوان وتستغل استنزاف الجيش الأمريكي في إيران؟,['Economy'],24,none,ar,ar,PT19M45S,hd,false,True,{},rectangular,1034958,25200,0,964
59,2026-03-23T18:01:03Z,الأكراد في إيران: من جمهورية مهاباد إلى اليوم,['Politics'],24,none,ar,ar,PT11M40S,hd,false,True,{},rectangular,80865,2815,0,432
60,2026-03-22T13:00:01Z,نجاحات السوريين في ألمانيا,,24,none,ar,ar,PT1M13S,hd,false,False,{},rectangular,75485,2002,0,103
61,2026-03-21T18:00:17Z,المُخبر الاقتصادي+ | كيف تستعد تركيا لمواجهة محتملة مع إسرائيل بعد نهاية الحرب على إيران؟,['Economy'],24,none,ar,ar,PT32M16S,hd,false,True,{},rectangular,1379781,29167,0,2181
62,2026-03-20T18:00:52Z,من الحرب إلى القمة: كيف تفوق السوريون في ألمانيا؟,['Refugees'],24,none,ar,ar,PT16M38S,hd,false,True,{},rectangular,112556,3724,0,452
